Username,Total Mobs Killed,ALLAY,ARMADILLO,AXOLOTL,BAT,BEE,BLAZE,BOGGED,BREEZE,CAMEL,CAMEL_HUSK,CAT,CAVE_SPIDER,CHICKEN,COD,COPPER_GOLEM,COW,CREAKING,CREEPER,DOLPHIN,DONKEY,DROWNED,ELDER_GUARDIAN,ENDER_DRAGON,ENDERMAN,ENDERMITE,EVOKER,FOX,FROG,GHAST,GLOW_SQUID,GOAT,GUARDIAN,HAPPY_GHAST,HOGLIN,HORSE,HUSK,IRON_GOLEM,LLAMA,MAGMA_CUBE,MOOSHROOM,MULE,NAUTILUS,OCELOT,PANDA,PARCHED,PARROT,PHANTOM,PIG,PIGLIN,PIGLIN_BRUTE,PILLAGER,POLAR_BEAR,PUFFERFISH,RABBIT,RAVAGER,SALMON,SHEEP,SHULKER,SILVERFISH,SKELETON,SKELETON_HORSE,SLIME,SNIFFER,SNOW_GOLEM,SPIDER,SQUID,STRAY,STRIDER,TADPOLE,TRADER_LLAMA,TROPICAL_FISH,TURTLE,VEX,VILLAGER,VINDICATOR,WANDERING_TRADER,WARDEN,WITCH,WITHER,WITHER_SKELETON,WOLF,ZOGLIN,ZOMBIE,ZOMBIE_HORSE,ZOMBIE_NAUTILUS,ZOMBIE_VILLAGER,ZOMBIFIED_PIGLIN
Beardmead,12618,0,0,0,0,1,1087,0,0,0,0,0,124,11,0,0,4,0,314,0,0,2,0,0,8625,1,0,0,0,3,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,16,9,0,4,0,0,0,0,3,58,0,7,299,0,1398,0,47,39,28,2,0,0,2,0,0,0,11,0,2,0,4,0,1,1,0,468,0,0,21,9
Sivullinen,3196,0,0,0,0,0,44,276,32,0,0,0,34,76,0,0,77,0,297,0,5,59,7,0,21,0,6,0,0,5,0,0,0,0,26,88,75,7,0,111,0,0,0,0,0,0,0,1,84,77,28,21,0,0,1,0,0,116,95,56,299,0,263,0,0,136,0,16,0,0,2,0,0,15,18,23,1,0,3,1,45,19,0,616,0,0,10,4
GeirtheTyphoon,4310,0,0,0,0,0,0,0,46,0,0,0,87,58,0,0,87,0,29,0,0,17,0,0,2620,1,8,0,0,1,0,0,0,0,0,1,18,0,0,112,0,0,0,0,0,0,0,0,85,3,0,36,0,0,13,0,0,72,5,51,234,0,19,0,0,23,153,13,0,0,0,0,0,7,0,31,0,0,1,0,0,0,0,472,0,0,3,4
Xalithia,1109,0,0,0,0,0,108,0,8,0,0,0,0,0,0,0,29,0,17,0,0,451,0,0,0,0,0,0,0,0,38,0,0,0,0,0,1,3,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,11,10,0,0,65,0,10,0,0,22,1,0,0,0,0,1,0,0,3,0,0,0,1,0,242,0,0,78,0,0,1,1
YamiiTM,729,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,1,0,68,0,0,14,0,0,5,0,0,0,0,1,3,0,0,0,1,1,68,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,3,215,0,0,0,0,103,1,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,196,0,0,7,12
Airiel4262,5316,0,0,0,1,0,1,0,0,0,0,0,0,21,0,0,16,0,719,0,0,9,0,0,2199,5,0,0,0,0,1,1,0,0,0,0,2,0,0,38,0,0,1,0,0,0,0,0,14,1,0,5,0,0,0,0,0,5,0,18,181,0,81,0,0,167,17,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1793,0,0,7,7
Arrowspate,6683,0,0,1,2,0,38,0,0,0,0,0,2,1,0,0,7,0,51,0,0,0,0,0,105,0,0,0,0,32,4,0,0,0,10,0,0,0,0,157,0,0,0,0,0,0,0,1,7,51,4,4,0,0,0,0,0,8,47,0,165,0,11,0,0,67,1,0,0,0,0,3,0,0,0,0,0,0,3,1,4688,0,0,309,0,0,6,897
spikeaz,5367,0,0,0,0,0,7,1,4,0,0,0,9,26,0,0,509,0,108,0,0,58,0,0,3738,0,0,0,0,1,8,0,0,0,1,45,7,0,0,9,0,0,0,0,0,0,0,0,66,12,0,30,0,0,0,0,17,27,0,0,89,0,30,0,0,25,405,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,122,0,0,4,4
CatWhiskers49623,1486,0,0,0,0,0,0,1,0,0,0,0,11,27,0,0,22,0,74,0,2,6,0,0,424,0,0,0,0,0,5,0,0,0,0,5,0,2,0,4,0,0,0,0,0,0,0,0,19,1,0,0,0,0,6,0,0,34,0,0,214,0,16,0,0,104,3,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,472,0,0,24,1
rat_kao,2025,0,2,0,1,0,0,1,0,0,0,0,4,705,1,0,366,0,19,0,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,33,0,0,74,0,0,0,0,0,0,0,0,44,0,0,4,0,0,0,0,0,416,0,0,81,3,38,0,0,28,21,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,161,0,0,5,0
s4ubaru,6169,0,0,0,3,0,46,71,24,0,0,0,9,8,2,0,14,0,148,0,0,22,0,1,4071,0,5,0,0,6,100,0,0,0,17,0,65,0,0,39,0,0,0,0,0,0,0,2,28,38,3,52,0,1,2,3,2,15,6,26,346,0,64,0,0,152,1,5,0,0,0,1,0,2,0,18,1,0,15,2,84,0,0,627,0,0,18,4
