Username,Total Mobs Killed,ALLAY,ARMADILLO,AXOLOTL,BAT,BEE,BLAZE,BOGGED,BREEZE,CAMEL,CAMEL_HUSK,CAT,CAVE_SPIDER,CHICKEN,COD,COPPER_GOLEM,COW,CREAKING,CREEPER,DOLPHIN,DONKEY,DROWNED,ELDER_GUARDIAN,ENDER_DRAGON,ENDERMAN,ENDERMITE,EVOKER,FOX,FROG,GHAST,GLOW_SQUID,GOAT,GUARDIAN,HAPPY_GHAST,HOGLIN,HORSE,HUSK,IRON_GOLEM,LLAMA,MAGMA_CUBE,MOOSHROOM,MULE,NAUTILUS,OCELOT,PANDA,PARCHED,PARROT,PHANTOM,PIG,PIGLIN,PIGLIN_BRUTE,PILLAGER,POLAR_BEAR,PUFFERFISH,RABBIT,RAVAGER,SALMON,SHEEP,SHULKER,SILVERFISH,SKELETON,SKELETON_HORSE,SLIME,SNIFFER,SNOW_GOLEM,SPIDER,SQUID,STRAY,STRIDER,TADPOLE,TRADER_LLAMA,TROPICAL_FISH,TURTLE,VEX,VILLAGER,VINDICATOR,WANDERING_TRADER,WARDEN,WITCH,WITHER,WITHER_SKELETON,WOLF,ZOGLIN,ZOMBIE,ZOMBIE_HORSE,ZOMBIE_NAUTILUS,ZOMBIE_VILLAGER,ZOMBIFIED_PIGLIN
ghhosty,464,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,37,0,36,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,92,0,97,0,0,23,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,151,0,0,5,0
DocIsTheName,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
figsock,3082,0,0,0,0,0,4,6,0,0,0,0,10,2,0,0,3,0,12,0,0,53,0,0,2501,0,0,0,0,1,11,0,0,0,4,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56,0,0,131,0,46,0,0,33,6,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,0,178,0,0,4,1
_xXMCSM2026Xx_,4601,0,1,0,0,0,41,12,2,0,0,0,0,0,0,0,182,0,51,0,0,8,0,0,3672,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,2,6,13,144,0,7,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,3,0,25,0,0,319,0,0,9,0
Ash__003,3341,0,0,0,0,0,0,199,28,0,0,0,1,8,0,0,20,0,52,0,3,4,0,0,2125,0,0,0,0,1,6,0,0,0,3,7,12,3,0,11,0,0,0,0,0,0,0,0,9,14,0,6,0,0,1,0,0,29,0,15,208,0,29,0,0,183,0,0,0,0,3,0,0,0,0,0,1,0,2,0,0,0,0,348,0,0,10,0
thewildkindness,3820,0,0,0,0,0,0,1,2,0,0,0,3,27,0,0,7,0,10,0,1,6,0,1,3427,0,0,0,0,0,1,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,14,6,4,0,0,0,0,0,0,16,0,0,73,0,19,0,0,33,1,0,0,0,2,1,0,0,1,1,1,0,2,0,0,0,0,138,0,0,2,15
kashkdot,3413,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,8,0,105,0,2,11,0,0,2504,0,7,0,1,0,0,0,0,0,3,0,0,0,0,24,0,0,0,0,0,0,0,0,9,8,1,40,0,0,0,7,0,8,0,0,190,0,0,0,0,80,0,0,1,0,0,0,0,23,0,30,0,0,14,0,0,0,0,312,0,0,9,1
MrChip04,2484,0,0,0,0,0,3,0,0,0,0,0,3,2,0,0,1,0,31,0,0,6,0,0,2168,0,0,0,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,4,0,0,79,0,1,0,0,26,10,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,122,0,0,5,0
fangmincrft,4845,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,23,0,6,0,0,9,0,0,4615,0,0,0,0,0,2,0,0,0,0,0,4,0,0,16,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,4,0,0,44,0,11,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,2,0
retep_ih,9306,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,54,0,10,0,0,1,0,0,8993,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,29,29,0,1,0,0,0,0,0,5,2,0,69,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,58,0,0,4,16
DeloGateau,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,36,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,1,0
AnnikaBell,796,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,4,0,0,0,0,0,684,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,0,0,15,0,0,0,0,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,2,0
TheGeneral4430,331,0,0,0,0,0,2,4,0,0,0,0,0,9,0,0,12,0,31,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,3,3,2,0,0,3,0,0,0,0,0,0,0,0,12,20,4,0,0,0,0,0,0,19,0,0,51,0,12,0,0,29,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,88,0,0,6,1
pers3uss,1262,0,1,0,0,0,0,0,8,0,0,0,22,74,0,0,4,0,39,0,0,4,0,0,436,0,0,0,0,1,0,0,0,0,2,0,45,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,7,0,0,261,3,0,0,0,60,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,269,0,0,11,0
ByTomyXx,2060,0,0,0,0,0,52,0,8,0,0,0,7,2,0,0,51,0,23,0,0,0,0,0,639,3,0,0,0,0,0,0,0,0,0,2,46,0,0,36,0,0,0,0,0,0,0,1,6,0,0,3,0,0,0,0,4,4,19,103,130,0,117,0,0,21,0,38,0,0,0,0,0,0,0,0,0,0,1,1,37,0,0,165,0,0,3,538
Kickpunchy,1768,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,60,0,0,5,0,0,1436,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,10,0,0,88,0,6,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,3,0
Galaxial,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,96,0,0,1,0
Glassbot,986,0,0,0,1,0,14,0,8,0,0,0,3,3,0,0,13,0,29,0,0,0,0,0,86,0,0,0,0,2,0,2,0,0,4,1,70,1,0,76,0,0,0,0,0,0,0,0,3,4,8,7,27,0,12,0,0,2,42,0,153,0,3,0,0,62,0,40,0,0,2,0,0,0,1,0,1,0,2,0,18,1,0,276,0,0,8,1
Euros_,2553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0,0,0,0,0,2333,0,0,0,0,0,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,9,0,0,55,0,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,86,0,0,3,1
jolkvolk666,449,0,0,3,0,0,0,0,0,0,0,0,2,22,0,0,17,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,36,0,0,10,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,0,0,1,0
_girlfailure,3753,0,3,0,0,0,0,0,8,0,0,0,3,0,0,0,3,0,8,0,0,0,0,0,3488,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,26,0,35,0,114,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0
Rebyata,561,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,16,0,11,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,18,0,0,80,0,0,0,0,30,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,338,0,0,3,0
BiohazardBesi,41,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,6,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,1,0
Dafndil,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
MAGICBUTTER87,411,0,0,0,0,0,0,0,10,0,0,0,46,3,0,0,7,0,16,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,61,0,16,0,0,22,0,22,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,139,0,0,4,0
calamythe,168,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,10,0,6,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,23,0,0,21,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,71,0,0,1,3
Th3Kiji,6196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,26,0,0,13,0,0,475,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,11,5394,42,0,8,0,0,22,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,82,0,0,4,0
alivepenguin01,563,0,0,0,1,0,5,23,2,0,0,0,2,1,0,0,1,0,28,0,0,14,0,0,19,0,2,0,0,13,0,0,0,0,10,1,5,0,0,76,0,0,0,0,0,0,0,0,2,72,24,12,0,0,0,0,0,3,5,0,66,0,1,0,0,26,0,0,1,0,0,0,0,2,0,6,0,0,4,0,3,0,0,123,0,0,3,7
CloakedOkami,393,0,0,0,0,0,0,0,0,0,0,0,1,32,0,0,26,0,19,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,5,0,0,0,0,0,25,0,0,67,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,121,0,0,2,0
Tomattoe,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,5,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0
Chained_Pickle,262,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,12,0,0,2,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,15,0,0,26,0,4,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,152,0,0,0,0
vacantgrimm,1868,0,0,0,1,0,0,0,0,0,0,0,0,20,0,0,14,0,606,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,23,0,0,546,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,611,0,0,10,0
NotBranch,207,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,17,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,0,0,3,0,0,0,0,0,9,0,0,44,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,73,0,0,7,0
yapper97,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
pavvoz,93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,14,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,39,0,0,0,0
grayMatter94,139,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,73,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,4,0,0,9,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0
Shark1443,375,0,0,0,0,0,0,35,9,0,0,0,1,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,42,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,26,62,0,40,0,0,29,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,99,0,0,0,1
kryog,124,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,10,0,27,0,0,2,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,1,3
StarAura,163,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,6,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,2
AKAgladiator_1,6769,0,0,0,1,0,0,1,0,0,0,0,0,8,0,0,0,0,9,0,0,0,0,0,6589,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,39,0,0,0,0,15,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80,0,0,2,0
Flick,419,0,0,0,0,0,0,0,2,0,0,0,13,0,0,0,0,0,22,0,0,3,0,0,96,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,127,0,19,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,109,0,0,2,0
dreamy_sapphire,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,1,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,26,0,0,0,0,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0
JungleSystem,607,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,24,0,54,0,0,7,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,13,0,0,0,0,0,0,0,0,42,9,0,1,0,0,0,0,0,42,0,0,154,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,190,0,0,5,0
vkyt,793,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0,0,14,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,0,0,0,1
VintageNL,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,20,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,3,0
mining_101,722,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,49,0,5,0,0,0,0,0,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,24,16,0,49,0,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,91,0,0,2,2
juhneee,1689,0,0,0,0,1,2,0,0,0,0,0,0,6,0,0,19,0,8,0,0,0,0,0,1512,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,1,0,0,4,0,0,23,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,79,0,0,0,0
lilgogurtt,136,0,3,0,0,0,0,0,0,0,0,0,1,21,0,0,8,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,2,11,0,0,17,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,1,0,2,0,0,1,0,39,0,0,1,0
D3lent3r,77,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,1,3
vrdo,1541,0,0,0,0,0,13,0,0,0,0,0,8,0,0,0,2,0,12,0,0,0,3,0,1343,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,17,0,3,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,79,0,0,1,1
Pampers,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,616,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,36,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
Valuto,390,0,0,0,1,0,5,0,4,0,0,0,0,1,0,0,35,0,23,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,12,0,0,0,0,30,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,2,0,0,52,0,57,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,0,0,108,0,0,3,2
MurphysBigBroder,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,1,0
maringam,6793,0,0,0,0,0,10,0,2,0,0,0,0,3,0,0,2,0,19,0,0,0,0,0,6425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,69,0,5,0,0,24,0,11,0,0,0,0,0,0,0,0,0,0,1,0,17,0,0,161,0,0,1,0
DaveyTango,889,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,2,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,792,16,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,1,1
