,Username,Can be bet on?,# Of Times Top in a Category,# Of Times Top in a Category (ALL SHEETS),AVIATE_ONE_CM,ANIMALS_BRED,BELL_RING,BOAT_ONE_CM,CLEAN_ARMOR,CLEAN_BANNER,CLEAN_SHULKER_BOX,CLIMB_ONE_CM,CROUCH_ONE_CM,DAMAGE_ABSORBED,DAMAGE_BLOCKED_BY_SHIELD,DAMAGE_DEALT,DAMAGE_DEALT_ABSORBED,DAMAGE_DEALT_RESISTED,DAMAGE_RESISTED,DAMAGE_TAKEN,DEATHS,DROP,EAT_CAKE_SLICE,ENCHANT_ITEM,FALL_ONE_CM,FILL_CAULDRON,FISH_CAUGHT,FLY_ONE_CM,HAPPY_GHAST_ONE_CM,HORSE_ONE_CM,INSPECT_DISPENSER,INSPECT_DROPPER,INSPECT_HOPPER,INTERACT_WITH_ANVIL,INTERACT_WITH_BEACON,INTERACT_WITH_BLAST_FURNACE,INTERACT_WITH_BREWINGSTAND,INTERACT_WITH_CAMPFIRE,INTERACT_WITH_CARTOGRAPHY_TABLE,INTERACT_WITH_CRAFTING_TABLE,INTERACT_WITH_FURNACE,INTERACT_WITH_GRINDSTONE,INTERACT_WITH_LECTERN,INTERACT_WITH_LOOM,INTERACT_WITH_SMITHING_TABLE,INTERACT_WITH_SMOKER,INTERACT_WITH_STONECUTTER,JUMP,LEAVE_GAME,MINECART_ONE_CM,MOB_KILLS,NAUTILUS_ONE_CM,OPEN_BARREL,OPEN_CHEST,OPEN_ENDERCHEST,OPEN_SHULKER_BOX,PIG_ONE_CM,PLAY_NOTEBLOCK,PLAY_RECORD,PLAYER_KILLS,POT_FLOWER,RAID_TRIGGER,RAID_WIN,SLEEP_IN_BED,SNEAK_TIME,SPRINT_ONE_CM,STRIDER_ONE_CM,SWIM_ONE_CM,TALKED_TO_VILLAGER,TARGET_HIT,TIME_SINCE_DEATH,TIME_SINCE_REST,TOTAL_WORLD_TIME,TRADED_WITH_VILLAGER,TRIGGER_TRAPPED_CHEST,TUNE_NOTEBLOCK,USE_CAULDRON,WALK_ON_WATER_ONE_CM,WALK_ONE_CM,WALK_UNDER_WATER_ONE_CM
12,ExoticButter_,True,5.0,242.0,"585,170,232","1,173",362,"6,068,698",14,18,,"1,145,352","25,134,723","1,651","226,748","3,963,808",171,6,"16,874","581,086",206,"29,936",21,23,"23,382,062",45,528,"175,741,625","17,366,330","6,288,167","1,491",731,"1,843","2,595",92,59,278,6,4,"7,205","3,340",148,400,115,201,48,126,"797,136",658,"859,601","269,825",,"24,301","46,216","6,166","53,868","2,147,483,647",420,87,49,41,425,237,177,"4,605,333","119,953,496","231,881","4,675,403","17,559",24,"194,611","3,178","84,933,082","24,088",33,747,7,"4,151,908","206,306,229","9,275,079"
13,nineaf,True,0.0,36.0,"408,821,130",47,61,"7,840,686",,,,"832,210","9,394,424","1,838","9,067","1,457,033","1,281",,"15,900","348,318",5,"7,045",12,,"17,889,195",9,"1,912","116,050,436","17,480,994","48,083,221",63,491,"1,064",109,17,54,7,,5,"1,835",872,7,237,4,45,13,100,"422,257",517,"725,718","90,412","569,496","12,647","13,201","5,221","21,073","1,468,818,738",18,328,72,41,,1,372,"1,893,790","98,061,028",,"5,349,067",254,8,"33,719,002","10,669","81,241,187",329,68,553,47,"1,578,164","45,261,847","3,963,249"
14,jasian,True,2.0,306.0,"502,336,482","1,477",189,"8,068,697",,,165,"1,074,712","16,945,900",361,"4,125","3,287,612","2,243",447,"47,415","779,271",299,"33,657",11,265,"36,228,489",137,"1,323","199,038,630","55,049,024","1,107,010",484,392,"2,913",255,106,216,235,3,11,"3,996","1,207",389,363,48,88,111,246,"804,551",919,"101,185","41,510","99,738","10,616","35,660","7,997","49,820","785,551",449,76,25,36,19,20,564,"4,035,131","133,008,959","29,233","6,276,994","11,121",247,"231,550","31,911","77,236,495","72,169",40,870,8,"2,872,841","156,210,632","14,188,582"
15,NoLiver92,True,0.0,15.0,"74,108,967",59,4,"9,631,849",,,,"2,828,365","2,893,651",,"3,900","153,820",,,211,"91,333",97,"3,720",,1,"2,561,265",7,578,"30,502,739",,"25,620",841,180,"1,496",36,2,3,8,,3,"1,082",968,,28,,2,76,38,"114,069",575,"5,819,860","2,316",,"1,437","10,755",209,"6,755",,10,,6,,,,424,"903,145","41,877,855",,"2,641,807",246,,"190,449","50,482","76,162,826",200,11,258,48,"1,550,174","60,112,582","7,831,203"
16,HalfWingedAngel,True,0.0,42.0,"228,758,130",278,,"8,123,064",,,,"2,730,407","4,410,588",626,"6,735","4,687,434",22,,72,"138,118",99,"3,416",2,,"2,338,875",20,346,"15,940,883",,"17,339,900",794,136,"2,137",351,13,22,225,,,"3,267",502,14,131,4,8,62,,"155,340",308,"422,434","646,895",,"4,899","30,532",504,"14,509","27,708",61,23,3,36,2,,997,"3,551,019","51,554,251",,"4,369,151","4,042",57,"1,626,577","14,031","72,113,133","6,715",7,"2,362",388,"3,567,975","102,822,351","9,164,718"
18,ProbablyDylan,True,0.0,18.0,"100,230,977",191,,"2,635,410",,,,"1,738,201","4,974,115",,"10,601","311,260",,,334,"96,374",47,"5,783",,15,"3,171,816",3,,"18,359,654","261,275,625","358,354",225,345,"3,589",44,8,14,12,,2,"1,061",769,18,19,,16,1,55,"103,560",284,,"366,421",,"3,272","9,554","1,228","5,838",,3,2,4,2,,,122,"868,973","16,653,306",,"1,531,931",60,,"256,335","27,809","63,910,013",,1,9,,"1,350,491","40,651,808","1,647,819"
19,imperfection_,True,0.0,37.0,"192,398,798",95,31,"4,305,376",,,,"1,243,570","5,354,247",599,"13,027","800,796",319,,"5,818","154,636",39,"6,540",17,28,"10,112,646",,961,"82,201,858","44,762,965","14,758,315",112,79,70,132,19,123,30,,1,"1,318",602,11,129,39,36,100,18,"348,607",603,"536,040","7,880","282,150","5,851","7,620","3,824","5,179","124,329",6,241,30,129,3,5,148,"998,438","68,347,284",,"4,214,278",217,161,"71,521","34,664","58,973,798",28,23,654,16,"2,302,439","71,459,648","2,880,050"
20,dread19,True,4.0,193.0,"585,949,943",425,71,"3,804,952",,16,27,"1,010,433","17,841,378","18,750","15,803","5,307,762","2,203",63,"414,292","1,009,257",265,"39,502",10,179,"29,664,849",89,254,"129,880,512","50,471,483","17,430,583","1,285","1,971","7,019",303,183,7,409,,,"3,990","1,940",150,351,90,166,2,169,"425,026",595,"248,532","145,063","693,060","11,294","33,727","4,557","30,590","3,297",860,53,81,60,578,376,421,"2,992,511","54,777,436",,"2,579,605","2,659",320,"30,409","15,419","58,525,228","13,474",9,"1,080",187,"3,085,442","83,354,177","5,491,435"
21,VirgilAttack,True,2.0,49.0,"45,700,071","1,562",495,"14,341,066",1,,,"10,052,312","38,172,384",40,"129,566","623,872",,,"5,176","218,171",198,"10,622",23,61,"8,203,706",13,612,"82,962,377","69,765,617","2,587,786",119,30,138,204,60,"1,921",7,,1,"3,386","3,545",13,73,38,12,183,175,"386,673",338,"286,391","43,086","2,573,539","1,179","23,299","1,363","5,294","111,256",61,43,22,60,,,"1,215","6,842,601","87,062,752",,"4,183,887",115,6,"1,521,724","12,066","57,813,820",,6,162,414,"3,626,436","114,990,288","8,014,299"
22,_LadyFireHeart_,True,0.0,112.0,"442,596,428",49,30,"11,061,052",,,4,"1,122,966","12,905,289","1,280","30,591","457,488",178,,"4,130","193,549",46,"5,656",,,"16,680,997",18,"1,201","160,842,780","4,209,800","34,508,120","1,328",174,963,492,12,251,143,49,3,"2,050","1,295",19,314,7,21,194,9,"557,609",913,"40,986","10,327","1,183,950","9,406","30,749","5,012","27,893","65,787",10,8,28,225,1,2,262,"2,021,406","72,606,287",,"5,774,004","1,268",6,"582,023","9,254","55,673,524",771,45,128,125,"2,828,863","107,837,983","9,857,344"
