,Username,Can be bet on?,# Of Times Top in a Category,# Of Times Top in a Category (ALL SHEETS),AVIATE_ONE_CM,ANIMALS_BRED,BELL_RING,BOAT_ONE_CM,CLEAN_ARMOR,CLEAN_BANNER,CLEAN_SHULKER_BOX,CLIMB_ONE_CM,CROUCH_ONE_CM,DAMAGE_ABSORBED,DAMAGE_BLOCKED_BY_SHIELD,DAMAGE_DEALT,DAMAGE_DEALT_ABSORBED,DAMAGE_DEALT_RESISTED,DAMAGE_RESISTED,DAMAGE_TAKEN,DEATHS,DROP,EAT_CAKE_SLICE,ENCHANT_ITEM,FALL_ONE_CM,FILL_CAULDRON,FISH_CAUGHT,FLY_ONE_CM,HAPPY_GHAST_ONE_CM,HORSE_ONE_CM,INSPECT_DISPENSER,INSPECT_DROPPER,INSPECT_HOPPER,INTERACT_WITH_ANVIL,INTERACT_WITH_BEACON,INTERACT_WITH_BLAST_FURNACE,INTERACT_WITH_BREWINGSTAND,INTERACT_WITH_CAMPFIRE,INTERACT_WITH_CARTOGRAPHY_TABLE,INTERACT_WITH_CRAFTING_TABLE,INTERACT_WITH_FURNACE,INTERACT_WITH_GRINDSTONE,INTERACT_WITH_LECTERN,INTERACT_WITH_LOOM,INTERACT_WITH_SMITHING_TABLE,INTERACT_WITH_SMOKER,INTERACT_WITH_STONECUTTER,JUMP,LEAVE_GAME,MINECART_ONE_CM,MOB_KILLS,NAUTILUS_ONE_CM,OPEN_BARREL,OPEN_CHEST,OPEN_ENDERCHEST,OPEN_SHULKER_BOX,PIG_ONE_CM,PLAY_NOTEBLOCK,PLAY_RECORD,PLAYER_KILLS,POT_FLOWER,RAID_TRIGGER,RAID_WIN,SLEEP_IN_BED,SNEAK_TIME,SPRINT_ONE_CM,STRIDER_ONE_CM,SWIM_ONE_CM,TALKED_TO_VILLAGER,TARGET_HIT,TIME_SINCE_DEATH,TIME_SINCE_REST,TOTAL_WORLD_TIME,TRADED_WITH_VILLAGER,TRIGGER_TRAPPED_CHEST,TUNE_NOTEBLOCK,USE_CAULDRON,WALK_ON_WATER_ONE_CM,WALK_ONE_CM,WALK_UNDER_WATER_ONE_CM
34,ballslicker69,True,0.0,37.0,"243,310,230",20,108,"6,527,744",,,,"350,544","2,112,541","1,100","13,975","242,586",374,,"6,503","196,271",74,"4,095",51,132,"9,395,771",8,45,"66,497,795","27,187,051","5,184,799",375,199,205,170,24,1,25,,3,"1,917","1,556",51,148,17,31,2,,"307,776",500,"1,191,936","3,924",,"3,426","7,598","2,377","8,883","2,147,483,647",285,378,35,5,1,,526,"539,044","44,815,529",,"876,524","1,516",3,"21,741","21,786","39,595,935","2,517",9,515,21,"1,372,303","88,665,642","1,509,674"
36,HighLordCurzon,True,0.0,16.0,"40,410,447",152,5,"636,109",8,,1,"1,126,158","681,349",335,"11,014","88,175",,,497,"21,135",9,"1,536",,37,"664,041",7,,"417,853","72,976,949","2,657",2,4,454,99,6,483,229,,2,"1,354",875,63,16,,20,8,38,"26,640",69,,"4,266",,"1,017","4,833","1,207","4,992",,,,,,,,80,"280,868","11,594,443",,"6,734,824","3,182",,"12,372,189","16,993","37,632,560","18,890",3,8,101,"388,960","32,411,626","2,248,804"
39,The_Dragon_,True,1.0,42.0,"126,972,785",1,"6,061,476","37,089,191",,,,"455,722","31,223,156",279,,"3,651,598",,22,"4,457","119,795",14,"6,514",,,"3,632,681",2,279,"20,184,151","157,896,469","199,187",409,325,"3,332",240,54,23,,,,"1,167","1,104",6,50,,30,56,157,"141,623",256,"5,364,133","432,695",,"4,353","6,453","2,136","17,439",,195,33,6,1,1,1,886,"3,488,878","33,307,838",,"1,060,565",182,,"259,172","6,451","37,041,676",311,10,17,,"1,475,394","59,072,061","1,033,680"
40,lvte,True,1.0,70.0,"574,352,473",555,"1,215","23,553,025",,,,"588,891","14,445,233","6,039","31,418","1,035,068",391,135,"29,220","620,486",302,"9,507",72,41,"20,342,513",5,751,"123,765,962","48,610,548","48,654,588",199,68,91,150,21,22,18,,1,"1,320","1,042",28,110,10,40,3,20,"558,511",450,"240,820","17,975","1,205,148","2,771","19,133","2,423","10,925","1,347,897,972",11,41,253,83,,,239,"2,153,419","69,580,556",,"11,419,825","2,319",22,"59,760","4,627","36,349,533","5,162",20,"1,549",3,"6,244,901","55,016,423","8,205,880"
41,dcfemella,True,0.0,36.0,"23,071,914",717,30,"28,937,948",,,,"600,138","393,048",19,"27,569","282,231",,,"1,832","51,721",51,"8,523",,30,"1,130,607",27,"2,025","2,040,799","13,676,629","688,108",89,,165,75,21,56,3,,1,"2,947",988,2,28,8,46,119,29,"87,827",360,,"4,787","86,454","3,127","7,753",202,"2,895","5,482",,7,,49,,,979,"346,089","36,635,428",,"294,361","4,224",,"80,662","11,686","34,810,177","9,445",15,50,192,"3,250,679","96,692,509","974,447"
43,NikaUmi,True,1.0,72.0,"178,577,503",38,100,"2,324,612",,,1,"1,156,439","8,453,404",18,"7,834","233,536",160,,"2,920","173,046",44,"3,319",9,,"6,346,499",4,426,"53,705,092","98,013,631","5,523,242",57,51,272,121,9,3,36,,1,"1,874",676,8,232,"1,102",61,8,455,"219,254",477,"101,452","4,277",,"17,677","11,233","5,696","29,348","339,469",21,32,31,99,1,3,86,"1,495,315","61,795,678",,"1,868,544",162,22,"2,816,852","44,900","33,948,227",45,179,151,16,"847,862","52,094,116","1,873,313"
44,EchoDachi,True,0.0,18.0,"186,285,374",166,106,"8,196,564",,1,,"3,264,348","2,528,987",255,"1,910","284,390",8,,104,"126,959",74,"5,597",8,19,"12,425,042",2,617,"119,066,863",,"18,292,387",21,9,93,92,29,31,13,8,1,"1,355",392,1,51,25,29,15,130,"478,481",320,"33,653","3,475",,"3,888","9,491","1,225","10,198",,1,25,14,3,,,764,"1,006,488","50,231,155",,"5,351,947",536,,"10,114",401,"33,735,392",397,34,184,,"2,951,760","43,971,080","3,202,889"
45,fuzz44,True,0.0,21.0,"49,985,178",225,,"2,741,801",1,11,1,"551,760","1,362,668",,"169,272","68,746",,,243,"23,178",27,"3,207",,241,"1,129,029",18,928,"20,064,858","51,681,989","5,909,415",138,55,175,121,26,9,9,2,,"1,454","1,354",77,80,241,13,16,33,"112,042",204,"21,402","16,053","265,896","3,208","9,484",707,"6,165","178,499",23,20,20,43,,,920,"763,366","47,030,070",,"302,105","3,329",,"125,520","7,986","33,073,417","5,766",15,5,266,"1,456,675","66,701,629","3,640,474"
46,Pixie_Soiree,True,0.0,30.0,"167,981,933",86,8,"3,203,633",,,,"2,461,545","16,064,958",40,"3,582","229,019",,,"2,544","89,846",67,"2,436",,4,"4,337,725",11,989,"40,253,491",,"11,559,773",64,29,265,175,43,78,51,,,"1,777",808,5,128,,18,70,406,"231,198",251,"18,738","9,773",,"3,074","16,272","1,371","13,678",,,53,12,11,,,574,"3,354,170","45,168,861",,"6,452,474",925,,"63,700","63,730","32,403,937",592,1,24,17,"6,401,469","48,793,047","3,219,443"
47,BlownUpp,True,0.0,8.0,"25,469,727",404,5,"13,655,150",,,,"933,835","1,350,485",,"30,162","295,793",,,944,"44,127",9,"2,025",,129,"1,391,866",150,513,"3,464,302","38,570,151","2,296,646",695,759,898,97,9,121,106,,2,"1,675",943,94,20,,10,71,93,"71,884",109,"89,696","18,903","2,331,450","1,842","6,990","1,287","8,426",,188,,1,2,,,367,"576,485","3,539,165",,"529,732","1,696",2,"519,244","46,289","31,942,411",976,22,196,211,"1,052,724","51,861,521","1,844,453"
48,DeadButNotDying,True,0.0,29.0,"124,382,162",284,18,"2,381,068",,,,"1,034,707","6,388,479",34,"18,829","182,657",,,"1,727","95,916",31,"3,073",,13,"3,698,433",6,4,"27,796,748","562,989","177,086",54,88,554,218,16,58,81,,8,"1,335",637,10,69,20,14,170,444,"156,571",209,"766,005","3,891",,"1,770","15,505",501,"11,959",,2,21,18,118,,,292,"1,591,061","36,118,597",,"904,040",132,,"752,599","25,691","31,463,101",276,6,101,57,"891,639","61,393,166","1,330,926"
49,Raadixx,True,0.0,13.0,"31,048,547",188,,"10,616,217",,,,"3,090,556","5,552,276",,660,"40,538",,,103,"16,231",3,"11,007",,,"2,208,093",,574,"21,613,026",,"25,718",37,41,251,47,15,,,,,"1,112","2,966",1,13,,,1,8,"123,359",140,"3,382,327","3,109",,655,"6,900",574,"3,521",,,,,,,,665,"1,606,824","33,745,546",,"1,270,281",22,,"28,860,857","4,893","30,266,561",8,,255,,"2,679,488","26,168,741","2,577,171"
50,nohita_,True,0.0,15.0,"56,348,362","1,539",,"11,120,739",,,,"586,267","2,629,657",216,"4,949","290,590",,,"2,784","72,086",40,"2,777",,27,"2,989,084",1,427,"21,121,505","2,226,703",440,25,70,143,43,42,90,2,3,,733,319,32,212,5,48,39,280,"115,024",133,"1,750,275","4,058",,"1,539","6,574",858,"5,580",,3,8,7,,,,56,"801,829","21,308,119",,"1,706,429",38,,"396,166","8,047","29,887,366",7,15,91,1,"1,098,256","39,436,222","2,368,014"
51,Daedric_Ace,True,0.0,14.0,"56,362,000",436,65,"2,733,480",,,,"91,234","1,172,854",206,,"390,591",,,"1,024","81,959",20,"3,223",,74,"1,208,460",13,"1,063","6,008,639","401,876",227,616,3,768,81,6,,,,2,872,616,24,14,,10,1,2,"64,193",171,,"7,792",,"2,070","3,713",677,"1,921",,,9,,,7,7,67,"338,439","7,794,189",,"437,143",27,,"3,603,406","85,254","29,857,406",,,6,598,"1,080,039","31,924,473","1,425,690"
54,berrycowboy,True,0.0,12.0,"27,335,230",88,1,"4,136,096",2,4,,"711,397","2,034,833",81,"21,980","399,171",,,"1,082","83,631",39,"3,642",,158,"2,152,097",17,"2,656","9,472,283","1,095,416","14,987",45,3,178,195,1,116,235,83,7,"1,305",277,187,54,39,72,24,80,"96,915",196,"55,784","15,417","1,393,578","2,365","4,928","1,274","2,464","224,305",,212,10,20,,,451,"625,043","26,619,846",,"1,725,864","3,140",1,"936,737","115,324","28,528,048","10,778",5,486,40,"2,787,600","54,430,311","2,748,903"
55,ExTexan,True,0.0,26.0,"157,861,901",175,85,"5,041,766",,,,"247,392","7,102,738",694,"2,534","781,968",234,40,"5,363","178,226",15,"8,003",4,232,"10,023,764",1,144,"38,264,948","6,343,648","222,904",349,545,"2,405",133,20,,166,,,"2,297","2,701",121,296,3,37,2,53,"244,141",503,"25,904","15,046",,"9,528","14,961","2,023","21,773","16,536","1,126",80,28,16,,,174,"1,407,054","39,900,107",,"4,061,318","3,333",,"17,218,992","256,868","27,911,638","3,941",104,"2,208",,"2,170,626","31,088,691","2,271,530"
57,9thhh,True,0.0,22.0,"126,692,733",29,47,"12,985,335",,,,"835,208","1,119,987",915,"6,708","423,992","1,680",47,"23,799","349,899",334,"11,717",15,96,"16,787,257",,321,"107,632,042","2,553,602","1,436,512",43,10,36,81,4,213,1,,2,719,432,73,154,6,46,,197,"473,733",266,"238,974","18,112",,"3,702","5,411","1,152","7,615","64,074,957",2,251,103,41,,1,372,"292,646","40,241,658",,"1,445,723",212,2,"20,411","13,517","27,485,442","1,059",9,354,,"1,070,002","46,050,327","1,591,124"
58,Epeon,True,0.0,35.0,"147,674,871",370,305,"10,624,889",1,,6,"888,914","25,335,786","4,698","5,233","2,991,514",10,,"15,503","194,477",62,"5,498",,230,"6,559,901",14,568,"31,312,879","41,704,874","4,432,261",456,100,"2,271",224,74,117,282,,15,"2,624","1,876",170,80,39,16,101,298,"194,147",394,534,"164,481",,"3,620","17,248","7,132","8,216",,2,201,,187,1,1,180,"3,654,477","70,731,889",,"3,018,355","3,057",,"625,411","57,676","27,138,867","14,381",3,34,57,"1,828,194","67,491,462","3,607,378"
59,LethalPotato_,True,1.0,49.0,"137,025,233",335,2,"6,879,875",,,,"225,827","17,333,764",67,"6,222","592,860",,,"64,000","188,134",34,"6,382",,28,"10,337,295",26,11,"30,193,146","531,509,965","297,495","2,438","3,663","7,467",52,33,32,33,1,1,"1,414",854,28,14,,6,365,73,"177,557",319,"11,101","9,781",,"1,464","10,628",570,"21,890","9,580",694,2,,,,,208,"2,706,747","26,336,109",,"6,309,505",416,39,"1,792,722","5,334","26,585,199",734,81,399,195,"5,640,488","31,473,165","10,923,595"
61,Sprince0823,True,0.0,14.0,"41,909,341",105,,"2,166,845",,,,"742,088","11,062,908",,"3,958","203,749",,,"13,098","60,760",10,636,,,"2,554,456",9,113,"10,728,731",,461,286,,47,7,14,,,,,335,649,,35,4,18,,40,"89,722",112,"12,600","1,570",,"1,145","4,547",415,"2,246",,,,,,,,207,"1,992,085","11,327,554",,"435,363",2,,"13,108,633","8,261","24,706,568",,,5,71,"358,646","29,010,045","396,616"
62,DoodzEric,True,2.0,32.0,"154,638,415",152,98,"7,564,844",,,,"713,361","18,379,330",291,"2,921","749,404",96,18,"5,307","210,908",91,"4,414",2,24,"7,800,697",1,"9,745","37,630,824","21,721,038","8,435,319",12,265,"1,040",213,11,20,141,8,2,"1,105",621,23,238,5,27,8,161,"230,491",206,"5,094,472","6,569","19,705","6,500","15,278","2,061","5,487","455,376","1,757",61,17,16,1,1,178,"3,252,396","35,353,999",,"3,111,377","1,103",78,"382,220",355,"23,694,621","3,830",80,"764,526",,"2,293,938","35,129,993","1,726,094"
63,QueenShorkie,True,0.0,13.0,"101,334,943",39,10,"4,924,306",,,,"525,080","2,246,685",67,780,"129,611",,,112,"97,766",89,"2,872",59,7,"3,378,238",,553,"29,680,091",,"13,143,733",213,34,51,44,14,,2,8,1,877,666,,47,1,13,12,42,"156,495",189,"70,612","2,396",,"3,459","6,771",648,"5,921",,,28,7,2,,,254,"746,742","26,319,905",,"1,924,500",439,2,"703,527","15,342","22,988,829",262,8,121,28,"3,111,375","58,945,513","5,826,536"
64,nezjin,True,0.0,4.0,"86,603,658",608,,"2,331,653",,,,"2,656,717","671,337",,978,"95,722",,,51,"93,001",64,892,,227,"4,338,015",14,111,"30,656,038",,"45,339",773,"1,146","1,774",245,20,25,82,,3,"1,294",348,9,61,14,19,19,116,"152,402",227,"12,479","1,740",,"1,776","7,360","1,241","4,815",,33,1,,14,,,411,"431,974","8,734,825",,"251,503","1,744",,"115,732","20,405","22,212,755","6,076",175,124,304,"588,629","41,191,276","3,028,690"
65,LukiferD,True,0.0,20.0,"106,338,608",6,4,"2,810,071",,,1,"854,987","2,582,479",58,697,"175,369",11,336,"2,619","109,146",38,"2,676",,,"5,573,021",3,92,"37,419,333","8,620,618","3,477,879",28,624,791,44,32,3,,,12,804,429,,169,9,14,1,163,"180,016",283,"46,505","1,990",,"2,570","6,130","1,554","13,110",264,22,171,4,24,,,70,"485,711","25,300,897",,"709,056",546,,"306,797","69,203","22,087,269","4,388",3,861,8,"1,282,423","31,911,729","1,262,590"
66,visionsofashes,True,0.0,13.0,"108,588,809",435,"1,726","10,431,202",1,1,1,"1,271,675","2,008,120",507,484,"397,392",,,"1,250","82,587",21,"4,222",,,"5,065,856",6,"1,071","26,260,921","2,186,345","1,450",26,11,164,79,49,419,1,6,1,"2,220","1,285",53,142,18,45,517,2,"180,968",282,"21,746","6,227",,"12,537","10,589","1,620","5,717",,9,59,,1,1,1,241,"780,842","42,570,234",,"3,044,067",98,55,"784,633","18,651","21,931,527",20,14,254,136,"2,228,309","80,467,058","5,218,083"
67,BodenfliesePrime,True,0.0,17.0,"210,903,677",257,116,"2,099,959",,,,"607,943","4,957,102",481,"1,956","477,604",421,,"7,378","125,992",32,"3,511",5,194,"5,595,117",4,253,"67,943,935","798,596","20,056,391",199,16,342,107,72,80,245,,,962,493,93,73,8,46,16,55,"166,062",219,"87,228","12,277",,"4,858","11,971","1,829","7,360",,23,36,17,13,,,142,"757,261","26,277,457",,"2,162,231","4,998",,"440,521",379,"21,818,329","52,573",8,463,2,"963,310","36,025,883","1,780,647"
68,raddcatt,True,0.0,3.0,"69,143,078","1,126",35,"540,557",,,,"344,016","1,327,256",22,"7,934","459,375",,,634,"34,740",,853,,88,"3,047,237",2,27,"24,984,243","4,388,983","542,459",26,9,78,56,11,487,28,,1,724,327,18,99,2,22,88,26,"124,850",164,"121,417","5,380",,"2,001","10,039",669,"1,555",,1,15,1,7,,,62,"249,543","22,097,725",,"699,499",265,1,"21,552,700","45,324","21,556,168",440,8,81,36,"745,745","36,568,750","723,221"
69,ha5hbrowns,True,0.0,16.0,"116,710,342",6,2,"5,417,478",,,,"536,646","2,920,514",75,"5,742","145,988",40,,"1,829","59,926",22,"2,955",,,"2,400,027",3,392,"18,680,434","203,556","446,003",6,75,112,51,26,7,36,,3,924,976,,107,4,18,2,315,"109,967",335,"38,853","1,682","17,928","4,733","10,896",929,"2,768","226,294",12,2,,40,,,441,"1,165,759","46,571,807",,"1,060,031",99,,"160,267","102,803","21,356,201",1,5,356,60,"1,138,554","62,530,361","844,410"
70,seidqwest,True,1.0,49.0,"190,814,752",271,"51,999","11,488,479",,,,"438,573","5,336,058","9,284","10,309","1,581,045","1,942",649,"3,945","286,732",9,"24,845",89,27,"12,593,598",,843,"58,716,211",,"223,450",27,1,260,176,41,182,387,,112,"1,331",527,31,84,5,48,211,23,"295,202",159,"6,508,728","21,977",,"4,557","9,829","4,312","5,910","1,003,792",105,16,11,66,6,4,90,"935,606","56,894,636","1,005,328","6,424,571",607,,"69,403","22,068","21,217,764",654,1,524,2,"1,162,671","27,292,551","1,920,695"
72,TenRealDan,True,0.0,6.0,"150,574,790",237,2,"2,496,232",,,,"526,259","3,371,056","2,575",,"256,451",,,"4,865","80,540",8,"3,182",,92,"6,074,622",4,"1,410","26,430,292","1,021,367","324,715",37,1,46,76,19,200,17,3,,882,888,73,26,13,24,60,241,"135,157",106,,"33,386",,688,"7,545","1,675","4,669",,126,,7,64,14,16,339,"743,031","23,278,512",,"1,074,049",76,,"2,345,252","42,051","20,513,942",119,2,86,,"716,645","51,571,854","1,643,586"
75,fuzzyeaglesXD,True,0.0,22.0,"23,140,888",67,20,"6,939,524",,,,"639,638","353,108",,"2,925","247,339",,,157,"136,452",313,"2,047",24,71,"996,058",5,24,"3,521,385",,"1,561,674",4,,52,75,23,91,1,130,8,"1,433","1,530",35,30,,2,20,2,"76,532",95,,"7,828",,"2,640","3,580",740,"4,591",,22,,1,,,,546,"354,922","37,085,633",,"1,346,871",248,,0,219,"20,357,783",203,18,17,8,"1,444,439","34,111,663","1,392,370"
76,SauseOnToastt,True,0.0,41.0,"115,194,277",33,41,"1,083,750",,,,"1,094,338","3,406,298",48,857,"211,121",,,192,"98,312",34,"1,464",,,"5,078,826",18,12,"30,210,126","21,949,931","10,163,163",30,12,210,26,13,44,,,,"1,218",551,3,19,6,6,68,203,"160,303",339,"7,563","5,590",,"1,407","11,090",644,"2,999","27,582",133,1,11,24,,1,77,"797,977","26,409,120",,"1,915,507",181,,"567,776","11,043","20,255,008",592,8,78,13,"1,530,994","34,121,685","3,949,437"
78,Cream109,True,0.0,43.0,"150,366,413",280,2,"564,326",,,16,"716,017","7,911,615","1,863","15,219","1,063,948",,,"9,115","85,043",,"3,580",9,42,"2,872,229",15,166,"18,119,471",,"1,195,702",261,9,75,89,25,407,"1,203",,12,"1,392","1,950",35,41,6,30,85,561,"102,059",185,"12,625","11,280",,"4,560","10,738","2,018","12,142",,,27,,2,3,,189,"1,340,810","34,026,912",,"4,004,256",973,,"19,262,291","28,586","19,262,601","3,357",6,29,390,"1,499,141","38,408,716","3,837,702"
80,CorvusCepheus,True,0.0,15.0,"43,808,141",117,,"14,102,019",,,,"1,581,676","2,658,974",2,"23,890","186,970",6,,"15,394","50,225",23,"12,040",1,,"2,251,053",1,7,"5,366,910","21,952,216","12,516",35,8,256,27,40,346,14,26,1,"1,344","1,048",,37,2,10,90,266,"75,583",194,"650,680","6,636","10,422",638,"6,753",419,"4,399","13,337",,4,2,9,1,1,375,"1,078,991","44,391,613",,"637,155",252,,"1,320,829","36,230","18,979,346",419,1,736,196,"524,068","29,132,227","664,774"
83,The_Peachess,True,0.0,4.0,"102,246,937",37,,"7,072,318",,,,"1,213,512","736,154",79,"2,801","70,049",,,29,"114,164",55,"1,920",4,143,"4,026,533",2,233,"39,867,623",,"7,047,973",9,11,14,332,35,181,6,,,"1,451",989,78,63,10,36,,140,"169,020",321,"211,465","1,033",,"6,172","9,697",867,"5,345",,40,1,1,24,,,154,"337,755","47,154,638",,"21,366","3,062",,"4,148,658","5,030","18,525,842","1,699",3,33,,"652,257","41,495,702","454,213"
84,beauganglezV2,True,0.0,8.0,"78,268,021",289,,"3,974,347",,,,"235,345","2,043,144",101,"3,125","157,763",,,"3,373","69,222",27,"4,540",,31,"1,577,922",,24,"8,412,056","14,991,379","229,999",56,116,349,74,12,49,11,,,461,524,26,37,1,9,76,94,"50,847",117,"3,310,392","7,820",,"1,078","7,697",100,"2,964",,11,12,29,3,,,124,"517,863","17,090,736",,"619,766",254,,"500,167","74,976","18,016,546",213,14,118,73,"413,210","36,543,407","1,476,999"
85,UwU_G,True,0.0,11.0,"137,799,960",25,,"482,715",,,,"1,660,119","2,779,547",148,165,"54,901",,,"29,426","79,885",30,"1,410",,112,"3,947,062",3,517,"21,278,919",,"302,427",26,99,310,50,37,,15,,,578,229,77,59,,19,,262,"99,745",64,"30,678","3,001",,"1,435","6,107",314,"9,379",,3,9,,1,,,215,"619,444","26,335,745",,"400,854",14,,"265,585","98,409","17,897,023",2,,75,9,"1,126,468","33,452,740","1,499,707"
87,N3bulaXP,True,0.0,20.0,"72,821,324",76,2,"1,903,719",,,,"536,806","6,819,614",226,"6,440","183,187",158,,"10,225","73,189",26,"1,693",12,85,"7,059,403",5,236,"30,288,017","11,018,444","400,432",115,165,157,94,32,42,2,,,738,439,55,71,8,31,56,97,"130,054",203,"116,339","4,680","243,936","2,035","6,709","1,042","5,070",,5,134,17,30,,,50,"1,186,729","23,925,372",,"398,715",23,,"115,659","1,977","15,911,792",28,5,"1,633",,"580,764","30,983,232","597,190"
88,CeruleanStar881,True,0.0,2.0,"11,344,935",118,2,"7,646,062",,,,"724,002","974,941",337,"83,436","202,869",3,,435,"43,288",17,"2,998",,124,"2,726,903",3,"1,183","16,818,521","14,412,785",,14,49,13,242,,282,19,,3,"1,084","3,400",37,247,,17,61,55,"98,546",108,"404,445","11,219",,"5,250","6,611","1,105","5,078",,,2,5,16,,1,132,"487,947","16,198,612",,"610,172",61,,"560,020","6,248","15,842,268",1,3,2,160,"779,996","33,042,091","1,630,535"
90,PhantaPurple,True,0.0,38.0,"145,964,297",8,17,"13,951,652",,,,"156,878","6,593,184","3,490","79,282","1,190,862","2,041",,"12,382","168,402",18,"9,215",1,130,"11,205,296",2,104,"47,098,731","23,089,201","39,463,920",105,21,370,204,22,12,553,,4,927,701,97,44,18,46,6,370,"213,592",131,,"10,771",,"2,177","8,507","2,350","7,490","163,568",200,10,45,21,1,1,191,"1,115,153","34,885,837","1,744,133","3,158,843","2,049",,"190,452","5,965","15,637,936","12,808",16,472,,"1,067,664","31,435,106","1,240,501"
91,PronaldTheFirst,True,0.0,35.0,"189,463,347",159,96,"26,463,779",,,,"203,642","9,868,892","3,535",602,"1,079,533",152,,"5,204","150,251",9,"3,318",,258,"6,894,069",1,82,"27,582,307","92,423","249,171",117,59,639,415,71,217,445,,,967,416,248,30,5,31,1,34,"174,208",210,"168,127","23,731",,"8,808","3,552","1,902","17,144",,31,15,,2,17,15,116,"1,497,728","22,732,260",,"4,230,865","2,674",,"7,635,027","10,218","15,499,113","12,423",,25,,"995,665","31,747,034","4,151,372"
92,puppyswagg,True,0.0,19.0,"34,339,543",86,37,"5,998,182",,,,"553,923","1,317,425",80,304,"125,514",,,"1,510","100,200",50,"1,000",10,,"4,276,049",7,122,"25,340,655","2,501,454","908,341",55,40,6,48,13,5,3,11,3,637,284,1,111,12,7,19,176,"126,892",105,"9,056","1,602","140,616","2,219","7,975",141,"1,869","12,920",640,28,6,95,,,80,"288,809","26,738,830",,"1,691,928",69,,"1,970,241","19,204","15,428,216",15,5,158,,"363,921","50,362,590","765,096"
94,badkarma38600,True,0.0,7.0,"30,278,244",20,2,"9,405,693",,,,"349,196","576,497",88,"7,130","101,102",104,20,"3,212","76,828",105,"2,329",4,31,"3,602,847",,322,"35,228,563",,"4,453",6,,8,33,,4,35,,1,403,104,10,32,8,13,14,51,"129,890",111,"38,011","10,121",,"1,422","3,196",25,"1,528","36,147",5,2,31,7,,,196,"241,546","26,927,755",,"491,204",37,,"1,126,421","4,007","14,188,133",128,2,107,,"871,544","21,814,980","816,540"
95,MessedUpLogic,True,1.0,5.0,"23,043,044",666,28,"16,057,669",,,,"298,647","1,306,672",54,196,"297,661",42,,"4,836","55,870",20,"1,232",,6,"3,719,111",12,253,"33,241,643",,"191,573",49,3,115,102,,27,208,563,2,849,543,8,281,,16,5,39,"138,737",133,"2,074,974","3,612",,"4,611","4,511","1,351","4,767","145,548,302",,8,12,4,,,126,"329,750","18,048,679",,"853,293",178,,"175,286","1,811","14,170,772","1,159",5,90,25,"720,270","25,289,302","892,105"
97,HammerS1ap,True,0.0,3.0,"119,545,750",3,15,"2,140,888",,,,"98,143","2,163,571","3,544","16,294","127,100",663,,"14,090","162,186",141,"3,182",4,,"3,013,239",3,69,"17,321,623","17,022,454","1,867,545",8,23,319,60,26,32,89,,,538,647,1,134,2,24,85,47,"76,555",181,"44,088","2,548","69,336","1,632","4,738",742,"2,710","51,789,690",2,42,9,,1,1,100,"583,046","15,703,839",,"844,119",33,9,"770,043","180,267","14,054,443",1,,115,5,"505,266","26,174,362","1,141,197"
98,bbunnyboy,True,0.0,16.0,"36,595,165",169,1,"321,770",,,,"235,083","1,201,060",103,"3,394","121,445",,,164,"43,006",42,905,11,23,"1,077,805",5,,"3,391,419","3,666,612","4,783,405",138,,262,17,2,17,4,,2,775,479,15,17,,2,34,9,"43,603",123,,999,,"4,026","5,278",509,"2,722",,21,,1,20,,,217,"291,556","19,841,979",,"1,467,026",530,,"4,110,825","274,795","13,992,476","1,390",2,174,258,"1,052,598","32,644,045","2,238,118"
100,greencouchpres,True,0.0,2.0,"1,466",620,54,"7,097,298",,8,,"294,105","326,696",,"1,140","48,554",,,167,"22,440",14,780,,38,"1,078,056",4,634,"5,079,402",,"12,442,440",,1,,36,,1,1,,8,588,476,27,40,13,3,1,23,"47,126",35,,"8,270","208,710","2,419",984,16,910,,,,,,,,176,"134,022","14,767,788",,"429,661",113,,"1,467,318","52,860","13,881,438",46,5,34,1,"1,067,525","25,597,571","523,054"
101,minoslay,True,0.0,6.0,"52,919,717",19,1,"917,857",,,,"377,906","1,441,360",40,210,"453,124",,,"2,693","97,518",59,"1,250",,,"2,535,434",,119,"15,404,027","3,509,689","40,328",9,44,64,72,20,,8,,,604,637,,275,4,20,3,112,"106,177",201,"385,993","4,652",,"1,984","5,093",325,"1,933",,,8,3,10,,,107,"538,700","15,270,289",,"1,132,115",169,,"400,605","99,246","13,760,096",654,44,90,147,"972,450","36,262,664","945,805"
102,Snorkle,True,0.0,2.0,"32,471,343",37,41,"3,731,546",,,,"396,106","1,177,085",726,,"62,277",886,,"1,175","29,209",17,430,,,"1,477,607",,294,"11,553,708","101,702","66,988",34,98,231,59,2,2,,,2,248,375,1,28,,1,3,19,"57,311",80,,"5,662",,"2,138","2,642",850,"3,114",,,56,24,7,,,170,"415,521","11,527,545",,"1,993,899",34,,"3,761,146","12,404","13,453,194",,4,193,,"273,610","10,070,101","816,817"
104,Grimm_2189,True,0.0,5.0,"100,202,036","2,243",,"960,803",,,,"319,456","2,121,243",107,"23,480","318,920",,,629,"40,135",6,908,12,7,"2,488,025",22,41,"21,401,897","977,553","2,345,960",9,92,907,67,13,186,132,,5,675,272,,50,1,17,132,12,"121,453",121,"24,177","7,341",,"2,094","5,692","1,619","7,467",,,,,30,,,177,"470,689","19,772,042",,"13,967,963",216,,"695,343","13,791","13,028,435","1,177",5,6,16,"3,145,969","26,437,089","8,412,409"
